sid,knn_1,knn_2,knn_3
koofs_TW_0085,cwbuoy_22484,koofs_DT_0062,koofs_TW_0086
koofs_TW_0087,cwbuoy_22459,koofs_DT_0005,koofs_TW_0088
koofs_TW_0086,cwbuoy_22484,koofs_TW_0085,cwbuoy_22460
koofs_TW_0079,cwbuoy_22504,cwbuoy_22492,cwbuoy_22475
koofs_TW_0081,koofs_TW_0078,koofs_DT_0027,cwbuoy_22456
koofs_TW_0090,koofs_TW_0062,cwbuoy_22459,cwbuoy_22454
koofs_TW_0083,koofs_DT_0016,koofs_TW_0074,cwbuoy_22498
koofs_TW_0078,koofs_DT_0027,cwbuoy_22456,koofs_TW_0081
koofs_TW_0080,buoy_22102,cwbuoy_22449,cwbuoy_22481
koofs_KG_0101,buoy_21229,koofs_DT_0013,cwbuoy_22441
koofs_KG_0102,cwbuoy_22442,cwbuoy_22443,koofs_DT_0013
koofs_TW_0076,koofs_DT_0001,koofs_TW_0077,cwbuoy_22496
koofs_KG_0021,buoy_22187,koofs_DT_0010,cwbuoy_22458
koofs_KG_0028,koofs_DT_0004,cwbuoy_22457,cwbuoy_22491
koofs_TW_0075,cwbuoy_22458,koofs_DT_0010,koofs_DT_0023
koofs_TW_0082,koofs_DT_0017,cwbuoy_22461,koofs_TW_0070
koofs_TW_0084,koofs_DT_0014,cwbuoy_22467,cwbuoy_22499
koofs_TW_0070,koofs_DT_0008,koofs_DT_0017,koofs_TW_0076
koofs_HB_0002,cwbuoy_22454,cwbuoy_22483,koofs_HB_0003
koofs_HB_0003,cwbuoy_22483,koofs_HB_0002,koofs_DT_0020
koofs_TW_0062,koofs_TW_0090,cwbuoy_22459,koofs_TW_0087
koofs_DT_0031,buoy_22103,cwbuoy_22478,koofs_TW_0081
koofs_DT_0029,cwbuoy_22455,buoy_22104,cwbuoy_22467
koofs_DT_0026,cwbuoy_22478,cwbuoy_22502,koofs_TW_0081
koofs_DT_0018,koofs_TW_0072,cwbuoy_22474,cwbuoy_22473
koofs_DT_0017,koofs_TW_0082,cwbuoy_22461,koofs_TW_0070
koofs_DT_0062,koofs_TW_0085,cwbuoy_22484,koofs_TW_0086
koofs_DT_0023,cwbuoy_22476,cwbuoy_22505,cwbuoy_22458
koofs_DT_0007,buoy_22183,koofs_DT_0028,cwbuoy_22489
koofs_DT_0006,cwbuoy_22479,koofs_TW_0089,cwbuoy_22451
koofs_DT_0005,koofs_TW_0087,koofs_TW_0088,cwbuoy_22459
koofs_DT_0061,cwbuoy_22501,cwbuoy_22450,cwbuoy_22498
koofs_DT_0010,koofs_TW_0075,cwbuoy_22458,koofs_DT_0004
koofs_DT_0022,cwbuoy_22469,cwbuoy_22495,cwbuoy_22491
koofs_DT_0012,cwbuoy_22471,koofs_TW_0091,cwbuoy_22451
koofs_DT_0008,koofs_TW_0070,koofs_TW_0076,koofs_DT_0001
koofs_DT_0037,buoy_22108,cwbuoy_22473,cwbuoy_22445
koofs_DT_0016,koofs_TW_0083,koofs_TW_0074,cwbuoy_22466
koofs_DT_0027,koofs_TW_0078,cwbuoy_22456,koofs_TW_0081
koofs_DT_0013,cwbuoy_22464,cwbuoy_22442,cwbuoy_22443
koofs_DT_0020,koofs_HB_0003,cwbuoy_22483,koofs_HB_0002
koofs_DT_0001,koofs_TW_0077,koofs_TW_0076,cwbuoy_22496
koofs_DT_0004,cwbuoy_22457,koofs_KG_0028,cwbuoy_22491
koofs_DT_0028,cwbuoy_22503,cwbuoy_22500,cwbuoy_22477
koofs_DT_0021,cwbuoy_22468,buoy_22184,cwbuoy_22477
koofs_DT_0014,koofs_TW_0084,cwbuoy_22467,cwbuoy_22499
koofs_DT_0002,koofs_DT_0008,koofs_TW_0070,koofs_DT_0017
koofs_DT_0091,cwbuoy_22490,buoy_22106,koofs_DT_0020
koofs_DT_0011,cwbuoy_22465,cwbuoy_22490,buoy_22106
koofs_DT_0035,buoy_22102,koofs_TW_0080,cwbuoy_22493
